nome,email,turma,ano
Carlos Silva,carlos.silva@escola.com,INFO,1
Ana Souza,ana.souza@escola.com,CONT,2
Bruno Lima,bruno.lima@escola.com,ENF,3
Mariana Costa,mariana.costa@escola.com,INFO,2
Diego Rocha,diego.rocha@escola.com,CONT,1
Juliana Ribeiro,juliana.ribeiro@escola.com,ENF,1
Lucas Almeida,lucas.almeida@escola.com,INFO,3
Beatriz Santos,beatriz.santos@escola.com,CONT,3
Fernando Oliveira,fernando.oliveira@escola.com,INFO,1
Patrícia Gomes,patricia.gomes@escola.com,CONT,2
Rafael Mendes,rafael.mendes@escola.com,ENF,2
Camila Ferreira,camila.ferreira@escola.com,INFO,3
Gustavo Araújo,gustavo.araujo@escola.com,CONT,1
Larissa Cardoso,larissa.cardoso@escola.com,ENF,1
Thiago Martins,thiago.martins@escola.com,INFO,2
Amanda Rocha,amanda.rocha@escola.com,CONT,3
Rodrigo Nunes,rodrigo.nunes@escola.com,ENF,2
Daniela Alves,daniela.alves@escola.com,INFO,1
Fábio Souza,fabio.souza@escola.com,CONT,2
Renata Lima,renata.lima@escola.com,ENF,3
Eduardo Castro,eduardo.castro@escola.com,INFO,3
Tatiane Freitas,tatiane.freitas@escola.com,CONT,1
Vinícius Pires,vinicius.pires@escola.com,ENF,2
Cristina Mendonça,cristina.mendonca@escola.com,INFO,2
Marcelo Ribeiro,marcelo.ribeiro@escola.com,CONT,3
